eV, e2dnde
0.000020153376859417352, 1.217503127427612e-13
0.000022275429519995566, 1.3973305213984048e-13
0.00003495250132675483, 2.3308877933907134e-13
0.00006373057341948999, 4.124626382901382e-13
0.00010000000000000021, 5.994842503189446e-13
0.00016496480740980208, 9.614041288202043e-13
0.00018233480008684422, 1.1705125335604076e-12
0.5765932649858926, 6.88029148506726e-11
0.7785819798516747, 7.443803013251665e-11
0.999999999999999, 6.11399087654032e-11
1.4924955450518322, 9.805121767832322e-11
1.9169407765334516, 8.053467417820147e-11
2.3418831260592508, 5.5410203300094806e-11
3.007882518043102, 4.9238826317067315e-11
3.6746619407366956, 4.2066039367639465e-11
5.765932649858938, 3.8123834995148816e-11
6.373057341948973, 3.3877747744402544e-11
4.719685320018218, 2.8378631781360036e-11
3324.597932270938, 5.1215534488593875e-12
4489.251258218598, 4.641588833612792e-12
6700.187503509604, 4.733841091948925e-12
5765.932649858926, 4.044246393116183e-12
10513.301770262418, 3.665241237079641e-12
14924.955450518291, 4.375479375074198e-12
246209240.14946407, 1.3700995912219933e-11
1105295141.1260152, 1.4823138652959915e-11
5216645251.859941, 7.017038286703837e-12
