eV, e2dnde
0.000020901402982126254, 1.2195704601594464e-13
0.000021983926488622935, 1.3738237958832666e-13
0.000063479219593505, 4.259026524818888e-13
0.00010517919063817135, 6.088113756264906e-13
0.00016569074306788293, 9.61077966237599e-13
0.00018329807108324411, 1.1490656115802539e-12
0.5623413251903467, 6.995642156712691e-11
0.7613405252175262, 7.573739175895025e-11
1.0307608019778631, 6.088113756264906e-11
1.5438193898778958, 9.610779662375992e-11
1.9872184654880494, 8.199608244604977e-11
2.5579658187147345, 5.6234132519035365e-11
2.9763514416313193, 4.893900918477519e-11
3.6425331154496376, 4.093256550624893e-11
5.738150435331342, 3.706512910922168e-11
6.347921959350461, 3.356310015978706e-11
4.688702004672793, 2.8634958083791643e-11
