#Eta/eta_0   s_gamma   delta_gamma   B_gamma[cm3/s]
3.0   0.658  3.09  6.43e-19
4.0   0.348  2.81  9.91e-18
5.0   0.286  2.39  1.24e-16
6.0   0.256  2.27  2.67e-16
7.0   0.258  2.13  3.50e-16
8.0   0.220  2.20  4.03e-16
9.0   0.217  2.13  4.48e-16
10.0  0.192  2.19  4.78e-16
30.0  0.125  2.27  1.64e-15
100.0 0.0507 2.63  4.52e-15
