1.000000000000000000e+15,3.442207239983556022e-13
1.676832936811010000e+15,6.027221856639408906e-13
2.811768697974225000e+15,1.036203677022869045e-12
4.714866363457390000e+15,1.702062974780316319e-12
7.906043210907702000e+15,2.678633591372667695e-12
1.325711365590110800e+16,4.070571699796877746e-12
2.222996482526191200e+16,5.739581164585640928e-12
3.727593720314953600e+16,7.850641042608298657e-12
6.250551925273976000e+16,1.015976261932432105e-11
1.048113134154683040e+17,1.272791933143037058e-11
1.757510624854796480e+17,1.563494122075090599e-11
2.947051702551809920e+17,1.864842762530264893e-11
4.941713361323818240e+17,2.205690840242882347e-11
8.286427728546859520e+17,2.573457852518823887e-11
1.389495494373136128e+18,2.971597508999204675e-11
2.329951810515381248e+18,3.413999450016980910e-11
3.906939937054620672e+18,3.881130009958921161e-11
6.551285568595495936e+18,4.396531873655408705e-11
1.098541141987552666e+19,4.955003367187592013e-11
1.842069969326716314e+19,5.554600090521310539e-11
3.088843596477472358e+19,6.211603726333467449e-11
5.179474679231223398e+19,6.911034919222676628e-11
8.685113737513520333e+19,7.668508756204102114e-11
1.456348477501238477e+20,8.484467097571766355e-11
2.442053094548654653e+20,9.341604297250121658e-11
4.094915062380418826e+20,1.026053065106563707e-10
6.866488450043025818e+20,1.120003012671097257e-10
1.151395399326448091e+21,1.214977946915989119e-10
1.930697728883245711e+21,1.310613185677039378e-10
3.237457542817653457e+21,1.392408685534226676e-10
5.428675439323858862e+21,1.467035434263946789e-10
9.102981779915263705e+21,1.517824461079671499e-10
1.526417967175236479e+22,1.547143508434451727e-10
2.559547922699533051e+22,1.561259516589644169e-10
4.291934260128760463e+22,1.552452316683696900e-10
7.196856730011528331e+22,1.535901363298395203e-10
1.206792640639326361e+23,1.506444954136551879e-10
2.023589647725163803e+23,1.460982478785157977e-10
3.393221771895329658e+23,1.408194671774855016e-10
5.689866029018281589e+23,1.326096445627479242e-10
9.540954763499885728e+23,1.232090718015059801e-10
1.599858719606057332e+24,1.120301459512791331e-10
2.682695795279738247e+24,9.787362185457109275e-11
4.498432668969452939e+24,8.346906549349674855e-11
7.543120063354606994e+24,6.570599514096807482e-11
1.264855216855290559e+25,4.760029274800934310e-11
2.120950887920192403e+25,3.120494235683648404e-11
3.556480306223150541e+25,1.380923059480292161e-11
